msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Gulfport-Biloxi, MS Metropolitan Statistical Area","Human Resources Support Center Southeast",Realign,0,-138,0,0,0,-138,-10,-148,-131,-279,151445,-0.2%
"Gulfport-Biloxi, MS Metropolitan Statistical Area","Keesler Air Force Base",Realign,-181,-31,0,0,-181,-31,-190,-402,-248,-650,151445,-0.4%
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","Ewvra Sheppard Air Guard Station",Gain,0,0,7,3,7,3,0,10,7,17,116091,0.0%
"Hanford-Corcoran, CA Metropolitan Statistical Area","Naval Air Station Lemore",Gain,-39,0,44,35,5,35,0,40,32,72,53641,0.1%
"Hardin County, OH ","Parrott U.S. Army Reserve Center Kenton",Close,-9,-1,0,0,-9,-1,0,-10,-5,-15,13264,-0.1%
"Harrisburg-Carlisle, PA Metropolitan Statistical Area","Defense Distribution Depot Susquehanna",Realign,0,-15,0,0,0,-15,0,-15,-13,-28,384888,0.0%
"Harrisburg-Carlisle, PA Metropolitan Statistical Area","Naval Support Activity Mechanicsburg",Realign,0,-11,0,0,0,-11,0,-11,-10,-21,384888,0.0%
"Hartford-West Hartford-East Hartford , CT Metropolitan Statistical Area","U.S. Army Reserve Center Area Maintenance Support Facility",Close,-13,-5,0,0,-13,-5,0,-18,-8,-26,760935,0.0%
"Hartford-West Hartford-East Hartford , CT Metropolitan Statistical Area","Bradley International Airport Air Guard Station",Realign,-23,-88,26,15,3,-73,0,-70,-54,-124,760935,0.0%
"Hilton Head Island-Beaufort, SC Micropolitan Statistical Area","Marine Corps Air Station Beaufort",Gain,0,0,0,12,0,12,0,12,9,21,93051,0.0%
"Honolulu, HI Metropolitan Statistical Area","Naval Station Pearl Harbor",Gain,-29,-213,0,324,-29,111,0,82,89,171,573389,0.0%
"Honolulu, HI Metropolitan Statistical Area","Hickam Air Force Base",Realign,-311,-117,159,7,-152,-110,0,-262,-224,-486,573389,-0.1%
"Hot Springs County, WY ","Army National Guard Reserve Center Thermopolis",Close,-19,0,0,0,-19,0,0,-19,-10,-29,3204,-0.9%
"Houston-Baytown-Sugar Land, TX Metropolitan Statistical Area","Army National Guard Reserve Center Ellington",Close,-14,-45,0,0,-14,-45,0,-59,-41,-100,2898160,0.0%
"Houston-Baytown-Sugar Land, TX Metropolitan Statistical Area","U.S. Army Reserve Center # 2 Houston",Close,-2,0,0,0,-2,0,0,-2,0,-2,2898160,0.0%
"Houston-Baytown-Sugar Land, TX Metropolitan Statistical Area","Ellington Field Air Guard Station",Realign,0,-3,0,0,0,-3,0,-3,-2,-5,2898160,0.0%
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Bias U.S. Army Reserve Center, Huntington",Close,-1,0,0,0,-1,0,0,-1,0,-1,139908,0.0%
"Huntsville, AL Metropolitan Statistical Area","Redstone Arsenal",Gain,-1322,-288,336,1874,-986,1586,1055,1655,1289,2944,225625,1.3%
"Indianapolis, IN Metropolitan Statistical Area","Navy Recruiting District Headquarters Indianapolis",Close,-27,-5,0,0,-27,-5,-6,-38,-15,-53,1037290,0.0%
"Indianapolis, IN Metropolitan Statistical Area","U.S. Army Reserve Center Seston",Close,-12,0,0,0,-12,0,0,-12,-4,-16,1037290,0.0%
"Indianapolis, IN Metropolitan Statistical Area","Leased Space - IN",Close/Realign,-25,-111,0,0,-25,-111,0,-136,-89,-225,1037290,0.0%
"Indianapolis, IN Metropolitan Statistical Area","Defense Finance and Accounting Service, Indianapolis",Gain,0,-100,114,3478,114,3378,3,3495,2490,5985,1037290,0.6%
"Jackson, MS Metropolitan Statistical Area","Jackson International Airport Air Guard Station",Gain,0,0,0,1,0,1,0,1,0,1,307475,0.0%
"Jacksonville, FL Metropolitan Statistical Area","Jacksonville International Airport Air Guard Station",Gain,0,-6,45,22,45,16,0,61,74,135,727765,0.0%
"Jacksonville, FL Metropolitan Statistical Area","Naval Air Station Jacksonville",Gain,-72,-245,1974,310,1902,65,58,2025,2370,4395,727765,0.6%
"Jacksonville, FL Metropolitan Statistical Area","Naval Station Mayport",Gain,-6,0,403,13,397,13,0,410,480,890,727765,0.1%
"Jacksonville, NC Metropolitan Statistical Area","Marine Corps Base Camp Lejeun e",Realign,-182,-16,0,15,-182,-1,-9,-192,-109,-301,91677,-0.3%
"Johnston County, OK ","Army National Guard Reserve Center Tishomingo",Close,-30,0,0,0,-30,0,0,-30,-16,-46,4603,-1.0%
"Johnstown, PA Metropolitan Statistical Area","Marine Corps Reserve Center Johnstown",Realign,-86,0,0,0,-86,0,0,-86,-52,-138,74442,-0.2%
"Kansas City, MO-KS Metropolitan Statistical Area","Defense Finance and Accounting Service, Kansas City",Close,-37,-576,0,0,-37,-576,0,-613,-549,-1162,1225451,-0.1%
"Kansas City, MO-KS Metropolitan Statistical Area","Marine Corps Support Center Kansas City",Close,-191,-139,0,0,-191,-139,-3,-333,-250,-583,1225451,0.0%
"Kansas City, MO-KS Metropolitan Statistical Area","Navy Recruiting District Headquarters Kansas",Close,-21,-6,0,0,-21,-6,-6,-33,-23,-56,1225451,0.0%
"Kansas City, MO-KS Metropolitan Statistical Area","Fort Leavenworth",Gain,-16,0,211,8,195,8,0,203,131,334,1225451,0.0%
"Kapaa, HI Micropolitan Statistical Area","Army National Guard Reserve Center Honokaa",Close,-118,0,0,0,-118,0,0,-118,-100,-218,37731,-0.6%
"Kearney, NE Micropolitan Statistical Area","Army National Guard Reserve Center Kearny",Close,-8,0,0,0,-8,0,0,-8,-4,-12,35434,0.0%
"Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area","Fort Hood",Realign,-9135,-118,9062,0,-73,-118,0,-191,-163,-354,186916,-0.2%
"King George County, VA ","Naval Surface Warfare Center Dahlgren",Realign,0,-503,0,169,0,-334,-17,-351,-424,-775,14171,-5.5%
"Kingsport-Bristol-Bristol, TN-V ","A Metropolitan Statistical Area U.S. Army Reserve Area Maintenance Support Facility",Close,-30,-2,0,0,-30,-2,0,-32,-7,-39,161187,0.0%
"Knoxville, TN Metropolitan Statistical Area","McGee Tyson APT Air Guard Station",Gain,0,0,58,190,58,190,0,248,245,493,402476,0.1%
"La Crosse, WI-MN Metropolitan Statistical Area","Navy Reserve Center La Crosse",Close,-7,0,0,0,-7,0,0,-7,-2,-9,89588,0.0%
"Lafayette, IN Metropolitan Statistical Area","U.S. Army Reserve Center Lafeyette",Close,-21,0,0,0,-21,0,0,-21,-11,-32,112699,0.0%
"Lake County-Kenosha County, IL-WI Metropolitan Division","Fort Sheridan",Realign,-17,-17,0,0,-17,-17,0,-34,-53,-87,498103,0.0%
"Lake County-Kenosha County, IL-WI Metropolitan Division","Naval Station Great Lakes",Realign,-2005,-124,16,101,-1989,-23,-10,-2022,-2577,-4599,498103,-0.9%
"Lansing-East Lansing, MI Metropolitan Statistical Area","Parisan U.S. Army Reserve Center, Lansing",Close,-25,0,0,0,-25,0,0,-25,-11,-36,281040,0.0%
"Las Cruces, NM Metropolitan Statistical Area","White Sands Missile Range",Realign,-13,-165,0,0,-13,-165,0,-178,-190,-368,79256,-0.5%
"Las Vegas-Paradise, NV Metropolitan Statistical Area","Nellis Air Force Base",Gain,-265,-5,1414,268,1149,263,0,1412,959,2371,890855,0.3%
"Lawton, OK Metropolitan Statistical Area","Fort Sill",Gain,-892,-176,4336,337,3444,161,-3,3602,2129,5731,63978,9.0%
"Lewisburg, PA Micropolitan Statistical Area","U.S. Army Reserve Center Lewisburg",Close,-9,-2,0,0,-9,-2,0,-11,-6,-17,22716,-0.1%
"Lexington Park, MD Micropolitan Statistical Area","Defense Finance and Accounting Service, Patuxent River",Close,0,-53,0,0,0,-53,0,-53,-70,-123,53347,-0.2%
"Lexington Park, MD Micropolitan Statistical Area","Naval Air Station Patuxent River",Gain,-10,-142,7,226,-3,84,6,87,114,201,53347,0.4%
"Lexington Park, MD Micropolitan Statistical Area","Fort Lewis",Realign,0,-164,0,0,0,-164,0,-164,-217,-381,53347,-0.7%
"Lexington-Fayette, KY Metropolitan Statistical Area","Defense Finance and Accounting Service, Lexington",Close,-5,-40,0,0,-5,-40,0,-45,-27,-72,296523,0.0%
"Lexington-Fayette, KY Metropolitan Statistical Area","Navy Reserve Center Lexington",Close,-9,0,0,0,-9,0,0,-9,-2,-11,296523,0.0%
"Lincoln, NE Metropolitan Statistical Area","Navy Reserve Center Lincoln",Close,-7,0,0,0,-7,0,0,-7,-3,-10,198773,0.0%
"Little Rock-North Little Rock, AR Metropolitan Statistical Area","Little Rock Air Force Base",Gain,-16,0,3595,319,3579,319,0,3898,2958,6856,394114,1.7%
"Little Rock-North Little Rock, AR Metropolitan Statistical Area","",Realign,-86,-91,0,0,-86,-91,0,-177,-158,-335,394114,-0.1%
"Los Angeles-Long Beach-Glendale, CA Metropolitan Division","Armed Forces Reserve Center Bell",Close,-72,0,48,0,-24,0,0,-24,-11,-35,5554695,0.0%
"Los Angeles-Long Beach-Glendale, CA Metropolitan Division","Navy-Marine Corps Reserve Center, Encino",Close,-33,0,0,0,-33,0,0,-33,-15,-48,5554695,0.0%
"Los Angeles-Long Beach-Glendale, CA Metropolitan Division","Navy-Marine Corps Reserve Center, Los Angeles",Close,-48,0,0,0,-48,0,0,-48,-22,-70,5554695,0.0%
"Los Angeles-Long Beach-Glendale, CA Metropolitan Division","Leased Space - CA",Close/Realign,-2,-14,0,0,-2,-14,0,-16,-13,-29,5554695,0.0%
"Los Angeles-Long Beach-Glendale, CA Metropolitan Division","Marine Corps Reserve Center Pasadena CA",Gain,0,0,25,0,25,0,0,25,11,36,5554695,0.0%
"Louisville, KY-IN Metropolitan Statistical Area","U.S. Army Reserve Center Louisville",Close,-30,-13,0,0,-30,-13,0,-43,-22,-65,728101,0.0%
"Louisville, KY-IN Metropolitan Statistical Area","Louisville International Airport Air Guard Station",Gain,0,0,0,6,0,6,0,6,4,10,728101,0.0%
"Louisville, KY-IN Metropolitan Statistical Area","Navy Recruiting Command Louisville",Realign,-6,-217,0,0,-6,-217,0,-223,-165,-388,728101,-0.1%
"Lubbock, TX Metropolitan Statistical Area","Navy Reserve Center Lubbock, TX",Close,-7,0,0,0,-7,0,0,-7,-2,-9,156975,0.0%
"Lufkin, TX Micropolitan Statistical Area","Army National Guard Reserve Center Lufkin",Close,-10,0,0,0,-10,0,0,-10,-5,-15,45773,0.0%
"Madison, WI Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Madison",Close,-23,-3,0,0,-23,-3,0,-26,-11,-37,401730,0.0%
"Madison, WI Metropolitan Statistical Area","Olson U.S. Army Reserve Center, Madison",Close,-113,0,0,0,-113,0,0,-113,-42,-155,401730,0.0%
"Madison, WI Metropolitan Statistical Area","Connell",Close,-11,-1,0,0,-11,-1,0,-12,-4,-16,401730,0.0%
"Madison, WI Metropolitan Statistical Area","Armed Forces Reserve Center Madison",Gain,0,0,40,8,40,8,0,48,21,69,401730,0.0%
"Madison, WI Metropolitan Statistical Area","Dane County Airport",Gain,-4,0,22,37,18,37,0,55,35,90,401730,0.0%
"Manhattan, KS Micropolitan Statistical Area","Fort Riley",Gain,0,0,2415,440,2415,440,0,2855,1818,4673,72434,6.5%
"Mansfield, OH Metropolitan Statistical Area","Army National Guard Reserve Center Mansfield",Close,-59,-2,0,0,-59,-2,0,-61,-57,-118,73323,-0.2%
"Mansfield, OH Metropolitan Statistical Area","Mansfield Lahm Municipal Airport Air Guard Station",Close,-63,-171,0,0,-63,-171,0,-234,-294,-528,73323,-0.7%
"Marquette, MI Micropolitan Statistical Area","Navy Reserve Center Marquette",Close,-7,0,0,0,-7,0,0,-7,-1,-8,34562,0.0%
"Marshall, TX Micropolitan Statistical Area","Army National Guard Reserve Center Marshall",Close,-15,-1,0,0,-15,-1,0,-16,-8,-24,29682,-0.1%
"Martin County, IN ","Naval Support Activity Crane",Realign,0,-672,0,0,0,-672,-11,-683,-308,-991,8525,-11.6%
"Maysville, KY Micropolitan Statistical Area","U.S. Army Reserve Center Maysville",Close,-16,-2,0,0,-16,-2,0,-18,-10,-28,16643,-0.2%
"Medford, OR Metropolitan Statistical Area","Navy Reserve Center Central Point",Close,-7,0,0,0,-7,0,0,-7,-2,-9,106355,0.0%
"Memphis, TN-MS-AR Metropolitan Statistical Area","Naval Support Activity Mid South",Gain,0,0,372,601,372,601,88,1061,668,1729,758153,0.2%
"Meridian, MS Micropolitan Statistical Area","Key Field Air Guard Station",Realign,-33,-142,0,0,-33,-142,0,-175,-163,-338,54548,-0.6%
"Meridian, MS Micropolitan Statistical Area","Naval Air Station Meridian",Realign,-15,0,0,0,-15,0,-1,-16,-13,-29,54548,-0.1%
"Miami-Miami Beach-Kendall, FL Metropolitan Division","Homestead Air Reserve Station",Gain,0,-12,0,83,0,71,0,71,70,141,1293315,0.0%
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Gen Mitchell International Airport ARS",Close,-44,-302,24,56,-20,-246,0,-266,-214,-480,986431,0.0%
"Paul-Bloomington, MN-WI Metropolitan Statistical Area","Fort Snelling",Realign,-130,-124,0,0,-130,-124,0,-254,-155,-409,2127894,0.0%
"Mobile, AL Metropolitan Statistical Area","Armed Forces Reserve Center Mobile",Close,-27,0,22,0,-5,0,0,-5,-2,-7,213966,0.0%
"Mobile, AL Metropolitan Statistical Area","Fort Ganey Army National Guard Reserve Center Mobile",Close,-13,0,0,0,-13,0,0,-13,-5,-18,213966,0.0%
"Mobile, AL Metropolitan Statistical Area","Wright U.S. Army Reserve Center",Close,-8,-1,0,0,-8,-1,0,-9,-4,-13,213966,0.0%
"Modesto, CA Metropolitan Statistical Area","Riverbank Army Ammunition Plant",Close,0,-4,0,0,0,-4,-85,-89,-17,-106,217388,0.0%
"Monroe County, WI ","Fort McCoy",Realign,-379,-82,97,133,-282,51,0,-231,-133,-364,23884,-1.5%
"Montgomery, AL Metropolitan Statistical Area","BG William P. Screws U.S. Army Reserve Center Montgomery",Close,-15,-3,0,0,-15,-3,0,-18,-12,-30,207595,0.0%
"Montgomery, AL Metropolitan Statistical Area","Navy Recruiting District Headquarters Montgomery",Close,-31,-5,0,0,-31,-5,-5,-41,-27,-68,207595,0.0%
"The Adjutant General Bldg, AL ","Army National Guard Montgomery",Close,-85,0,0,0,-85,0,0,-85,-56,-141,207595,-0.1%
"The Adjutant General Bldg, AL ","Dannelly Field Air Guard Station",Gain,0,0,18,42,18,42,0,60,45,105,207595,0.1%
"The Adjutant General Bldg, AL ","Maxwell Air Force Base",Realign,-740,-511,0,0,-740,-511,0,-1251,-894,-2145,207595,-1.0%
"Mountain Home, ID Micropolitan Statistical Area","Mountain Home Air Force Base",Realign,-1235,-54,697,23,-538,-31,0,-569,-329,-898,14441,-6.2%
"Muskogee, OK Micropolitan Statistical Area","Armed Forces Reserve Center Muskogee",Close,-14,-2,0,0,-14,-2,0,-16,-9,-25,40416,-0.1%
"Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area","Leased Space - TN",Close/Realign,0,-6,0,0,0,-6,0,-6,-4,-10,919365,0.0%
"Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area","Nashville International Airport Air Guard Station",Realign,-19,-172,0,0,-19,-172,0,-191,-137,-328,919365,0.0%
"Nassau-Suffolk, NY Metropolitan Division","Armed Forces Reserve Center Amityville",Close,-24,-4,0,0,-24,-4,0,-28,-8,-36,1530568,0.0%
"New Bern, NC Micropolitan Statistical Area","Marine Corps Air Station Cherry Point",Realign,-16,-664,64,8,48,-656,-20,-628,-558,-1186,66366,-1.8%
"New Haven-Milford, CT Metropolitan Statistical Area","SGT Libby U.S. Army Reserve Center, New Haven",Close,-14,-7,0,0,-14,-7,0,-21,-12,-33,472774,0.0%
"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area","Naval Support Activity New Orleans",Close,-1997,-652,0,0,-1997,-652,-62,-2711,-2016,-4727,763801,-0.6%
"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area","Leased Space - Slidell",Close/Realign,-1,-102,0,0,-1,-102,-48,-151,-144,-295,763801,0.0%
"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area","Naval Air Station New Orleans",Gain,0,0,1407,446,1407,446,3,1856,1372,3228,763801,0.4%
"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area","Naval Air Station New Orleans Air Reserve Station",Realign,-4,-308,45,76,41,-232,0,-191,-207,-398,763801,-0.1%
"New York-Wayne-White Plains, NY-NJ Metropolitan Division","Fort Totten / Pyle",Realign,-75,-74,0,0,-75,-74,0,-149,-72,-221,6226027,0.0%
"Newark-Union, NJ-PA Metropolitan Division","Picatinny Arsenal",Gain,0,0,5,688,5,688,0,693,566,1259,1246371,0.1%
"Norwich-New London, CT Metropolitan Statistical Area","Submarine Base New London",Close,-7096,-952,0,0,-7096,-952,-412,-8460,-7353,-15813,168620,-9.4%
"Oak Harbor, WA Micropolitan Statistical Area","Naval Air Station Whidbey Island",Gain,-34,0,0,173,-34,173,0,139,162,301,35843,0.8%
"Oakland-Fremont-Hayward, CA Metropolitan Division","Defense Finance and Accounting Service, Oakland",Close,0,-50,0,0,0,-50,0,-50,-40,-90,1383332,0.0%
"Oakland-Fremont-Hayward, CA Metropolitan Division","",Realign,-25,-18,0,0,-25,-18,0,-43,-26,-69,1383332,0.0%
"Ogden-Clearfield, UT Metropolitan Statistical Area","Hill Air Force Base",Realign,-13,-447,291,24,278,-423,0,-145,-164,-309,239699,-0.1%
"Oklahoma City, OK Metropolitan Statistical Area","Krowse U.S. Army Reserve Center Oklahoma City",Close,-78,-6,0,0,-78,-6,0,-84,-78,-162,703918,0.0%
"Oklahoma City, OK Metropolitan Statistical Area","",Close,-31,-22,0,0,-31,-22,0,-53,-55,-108,703918,0.0%
"Oklahoma City, OK Metropolitan Statistical Area","Tinker Air Force Base",Gain,-9,-197,9,552,0,355,0,355,450,805,703918,0.1%
"Oklahoma City, OK Metropolitan Statistical Area","Will Rogers World Airport Air Guard Station",Realign,-19,-145,103,46,84,-99,0,-15,-49,-64,703918,0.0%
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Naval Recruiting District Headquarters Omaha",Close,-19,-7,0,0,-19,-7,-6,-32,-28,-60,538121,0.0%
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Offutt Air Force Base",Realign,0,-227,54,69,54,-158,0,-104,-130,-234,538121,0.0%
"Orlando, FL Metropolitan Statistical Area","Defense Finance and Accounting Service, Orlando",Close,-9,-200,0,0,-9,-200,0,-209,-204,-413,1082297,0.0%
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","Channel Islands Air Guard Station",Gain,0,0,4,15,4,15,0,19,23,42,420712,0.0%
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","Naval Base Ventura City",Realign,-244,-2149,5,854,-239,-1295,0,-1534,-1905,-3439,420712,-0.8%
"Paducah, KY-IL Micropolitan Statistical Area","Army National Guard Reserve Center Paducah",Close,-31,0,0,0,-31,0,0,-31,-16,-47,61551,-0.1%
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","Patrick Air Force Base",Realign,-136,-59,0,0,-136,-59,0,-195,-165,-360,247994,-0.1%
"Panama City-Lynn Haven, FL Metropolitan Statistical Area","Naval Support Activity Panama City",Realign,-12,-12,0,0,-12,-12,0,-24,-24,-48,86688,-0.1%
"Panama City-Lynn Haven, FL Metropolitan Statistical Area","Tyndall Air Force Base",Realign,-48,-19,11,0,-37,-19,0,-56,-57,-113,86688,-0.1%
"Parsons, KS Micropolitan Statistical Area","Kansas Army Ammunition Plant",Close,0,-8,0,0,0,-8,-159,-167,-109,-276,15144,-1.8%
"Pascagoula, MS Metropolitan Statistical Area","Naval Station Pascagoula",Close,-844,-112,0,0,-844,-112,-7,-963,-798,-1761,68520,-2.6%
"Pendleton-Hermiston, OR Micropolitan Statistical Area","Umatilla Army Depot",Close,-127,-385,0,0,-127,-385,0,-512,-372,-884,44887,-2.0%
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","Naval Air Station Pensacola",Realign,-857,-1304,555,124,-302,-1180,-97,-1579,-2521,-4100,210512,-1.9%
"Peoria, IL Metropolitan Statistical Area","Greater Peoria Regio",Gain,0,0,13,21,13,21,0,34,23,57,217455,0.0%
"Peru, IN Micropolitan Statistical Area","Navy Marine Corps Reserve Center Grissom Air Reserve",Close,-7,0,0,0,-7,0,0,-7,-1,-8,14974,-0.1%
"Philadelphia, PA Metropolitan Division","Bristol",Close,-9,-2,0,0,-9,-2,0,-11,-5,-16,2273372,0.0%
"Philadelphia, PA Metropolitan Division","Engineering Field Activity Northeast",Close,-4,-188,0,0,-4,-188,0,-192,-155,-347,2273372,0.0%
"Philadelphia, PA Metropolitan Division","Naval Air Station Willow Grove",Close,-865,-362,0,0,-865,-362,-5,-1232,-698,-1930,2273372,-0.1%
"Philadelphia, PA Metropolitan Division","Navy Crane Center Lester",Close,-1,-54,0,0,-1,-54,0,-55,-44,-99,2273372,0.0%
"Philadelphia, PA Metropolitan Division","North Penn U.S. Army Reserve Center, Norristown",Close,-22,-1,0,0,-22,-1,0,-23,-10,-33,2273372,0.0%
"Philadelphia, PA Metropolitan Division","W. Reese U.S. Army Reserve Center/OMS, Chester",Close,-9,-1,0,0,-9,-1,0,-10,-4,-14,2273372,0.0%
"Philadelphia, PA Metropolitan Division","Naval Support Activity Philadelphia",Gain,0,-10,0,301,0,291,0,291,237,528,2273372,0.0%
"Philadelphia, PA Metropolitan Division","Human Resources Support Center Northeast",Realign,0,-174,0,0,0,-174,-9,-183,-148,-331,2273372,0.0%
"Philadelphia, PA Metropolitan Division","Navy Philadelphia Business Center",Realign,0,-63,0,0,0,-63,0,-63,-51,-114,2273372,0.0%
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","Air Force Research Lab, Mesa City",Close,-42,-46,0,0,-42,-46,0,-88,-82,-170,1971119,0.0%
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","Leased Space - AZ",Close/Realign,0,-1,0,0,0,-1,0,-1,-1,-2,1971119,0.0%
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","Phoenix Sky Harbor I",Gain,0,0,10,29,10,29,0,39,39,78,1971119,0.0%
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","Luke Air Force Base",Realign,-101,-177,0,0,-101,-177,0,-278,-273,-551,1971119,0.0%
"Picayune, MS Micropolitan Statistical Area","Mississippi Army Ammunition Plant",Close,0,-4,0,0,0,-4,-50,-54,-35,-89,16286,-0.5%
"Pine Bluff, AR Metropolitan Statistical Area","Stone U.S. Army Reserve Center, Pine Bluff",Close,-30,-4,0,0,-30,-4,0,-34,-13,-47,49184,-0.1%
"Pittsburgh, PA Metropolitan Statistical Area","Kelly Support Center",Close,-174,-136,0,0,-174,-136,0,-310,-183,-493,1403312,0.0%
"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh International Airport Air Reserve Station",Close,-44,-278,0,0,-44,-278,0,-322,-258,-580,1403312,0.0%
"Pittsburgh, PA Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Pittsburgh",Gain,0,0,7,0,7,0,0,7,2,9,1403312,0.0%
"Pittsburgh, PA Metropolitan Statistical Area","Pitt U.S. Army Reserve Center, Corapolis",Realign,-119,-101,0,0,-119,-101,0,-220,-132,-352,1403312,0.0%
"Pocatello, ID Metropolitan Statistical Area","Navy Reserve Center Pocatello",Close,-7,0,0,0,-7,0,0,-7,-2,-9,47266,0.0%
